                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                0.07573,                0.77551,                      1,                0.36512,             0.00052102,             0.00052102,             0.00052102
                     17,                0.06267,                0.79592,                      1,                0.37398,             0.00049582,             0.00049582,             0.00049582
                     18,                0.04824,                0.81633,                      1,                0.37762,             0.00046979,             0.00046979,             0.00046979
                     19,                0.09606,                0.83673,                      1,                0.36663,             0.00044308,             0.00044308,             0.00044308
                     20,                0.04964,                0.79592,                      1,                0.37226,             0.00041586,             0.00041586,             0.00041586
                     21,                0.04455,                0.89796,                      1,                0.35713,              0.0003883,              0.0003883,              0.0003883
                     22,                0.05974,                0.87755,                      1,                0.34856,             0.00036057,             0.00036057,             0.00036057
                     23,                0.05265,                0.87755,                      1,                0.34467,             0.00033284,             0.00033284,             0.00033284
                     24,                0.07635,                0.81633,                      1,                0.35851,             0.00030528,             0.00030528,             0.00030528
                     25,                0.03682,                0.85714,                      1,                0.34891,             0.00027806,             0.00027806,             0.00027806
                     26,                0.04174,                0.89796,                      1,                0.33559,             0.00025135,             0.00025135,             0.00025135
                     27,                 0.0424,                0.87755,                      1,                0.33327,             0.00022532,             0.00022532,             0.00022532
                     28,                0.02851,                0.87755,                      1,                 0.3287,             0.00020012,             0.00020012,             0.00020012
                     29,                0.03885,                0.85714,                      1,                0.32788,              0.0001759,              0.0001759,              0.0001759
                     30,                0.04145,                0.89796,                      1,                 0.3314,             0.00015283,             0.00015283,             0.00015283
                     31,                0.03163,                0.87755,                      1,                0.33468,             0.00013104,             0.00013104,             0.00013104
                     32,                 0.0283,                0.83673,                      1,                0.34817,             0.00011066,             0.00011066,             0.00011066
                     33,                0.03288,                0.83673,                      1,                0.34453,              9.182e-05,              9.182e-05,              9.182e-05
                     34,                0.04198,                0.81633,                      1,                0.34031,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     35,                0.03235,                0.83673,                      1,                0.33853,             5.9221e-05,             5.9221e-05,             5.9221e-05
                     36,                0.04276,                0.83673,                      1,                0.34252,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     37,                 0.0385,                0.85714,                      1,                 0.3504,             3.4043e-05,             3.4043e-05,             3.4043e-05
                     38,                0.03906,                0.85714,                      1,                0.33978,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     39,                0.02378,                0.83673,                      1,                0.34429,             1.6905e-05,             1.6905e-05,             1.6905e-05
                     40,                0.01635,                0.85714,                      1,                0.34122,             1.1491e-05,             1.1491e-05,             1.1491e-05
                      1,                0.39452,                0.40816,                      1,                0.60016,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.34818,                0.57143,                      1,                0.52666,             0.00014979,             0.00014979,             0.00014979
                      3,                0.30139,                0.65306,                      1,                  0.472,             0.00022759,             0.00022759,             0.00022759
                      4,                0.21021,                0.77551,                      1,                0.43469,             0.00030433,             0.00030433,             0.00030433
                      5,                0.19598,                0.83673,                      1,                0.41993,             0.00037956,             0.00037956,             0.00037956
                      6,                0.20298,                 0.7551,                      1,                0.43947,             0.00045286,             0.00045286,             0.00045286
                      7,                0.15776,                 0.7551,                      1,                 0.4096,             0.00052378,             0.00052378,             0.00052378
                      8,                0.11837,                0.83673,                      1,                0.37884,             0.00059192,             0.00059192,             0.00059192
                      9,                0.10864,                0.87755,                      1,                0.35928,             0.00065688,             0.00065688,             0.00065688
                     10,                0.12581,                0.79592,                      1,                0.35888,             0.00065898,             0.00065898,             0.00065898
                     11,                0.09749,                0.79592,                      1,                0.36716,             0.00065898,             0.00065898,             0.00065898
                     12,                0.11294,                0.79592,                      1,                0.37766,              0.0006465,              0.0006465,              0.0006465
                     13,                0.08115,                0.83673,                      1,                0.38238,             0.00063289,             0.00063289,             0.00063289
                     14,                 0.0784,                0.85714,                      1,                0.35205,             0.00061821,             0.00061821,             0.00061821
                     15,                0.07632,                0.91837,                      1,                0.33747,             0.00060251,             0.00060251,             0.00060251
                     16,                0.06946,                0.83673,                      1,                 0.3462,             0.00058585,             0.00058585,             0.00058585
                     17,                0.06209,                0.89796,                      1,                0.34051,             0.00056831,             0.00056831,             0.00056831
                     18,                0.04846,                0.83673,                      1,                0.35636,             0.00054995,             0.00054995,             0.00054995
                     19,                0.10281,                0.83673,                      1,                0.34591,             0.00053084,             0.00053084,             0.00053084
                     20,                0.04263,                0.85714,                      1,                0.34806,             0.00051105,             0.00051105,             0.00051105
                     21,                0.05172,                0.85714,                      1,                0.35018,             0.00049068,             0.00049068,             0.00049068
                     22,                0.06503,                0.89796,                      1,                0.34056,             0.00046979,             0.00046979,             0.00046979
                     23,                0.05705,                0.89796,                      1,                0.33772,             0.00044846,             0.00044846,             0.00044846
                     24,                 0.0698,                0.87755,                      1,                0.34196,              0.0004268,              0.0004268,              0.0004268
                     25,                0.04855,                0.87755,                      1,                0.33874,             0.00040487,             0.00040487,             0.00040487
                     26,                  0.033,                0.89796,                      1,                0.30974,             0.00038276,             0.00038276,             0.00038276
                     27,                0.06026,                0.91837,                      1,                0.31055,             0.00036057,             0.00036057,             0.00036057
                     28,                  0.034,                0.93878,                      1,                0.30578,             0.00033838,             0.00033838,             0.00033838
                     29,                0.04254,                0.91837,                      1,                0.30814,             0.00031627,             0.00031627,             0.00031627
                     30,                0.03634,                0.89796,                      1,                0.31674,             0.00029434,             0.00029434,             0.00029434
                     31,                0.03513,                0.89796,                      1,                0.32443,             0.00027268,             0.00027268,             0.00027268
                     32,                 0.0234,                0.87755,                      1,                 0.3274,             0.00025135,             0.00025135,             0.00025135
                     33,                0.04501,                0.87755,                      1,                0.32727,             0.00023046,             0.00023046,             0.00023046
                     34,                0.04383,                0.91837,                      1,                0.31956,             0.00021009,             0.00021009,             0.00021009
                     35,                0.02292,                0.89796,                      1,                0.32415,              0.0001903,              0.0001903,              0.0001903
                     36,                0.04266,                0.91837,                      1,                0.31735,             0.00017119,             0.00017119,             0.00017119
                     37,                0.03006,                0.89796,                      1,                0.32499,             0.00015283,             0.00015283,             0.00015283
                     38,                0.02937,                0.87755,                      1,                 0.3266,             0.00013529,             0.00013529,             0.00013529
                     39,                0.02917,                0.89796,                      1,                0.32566,             0.00011863,             0.00011863,             0.00011863
                     40,                0.02382,                0.89796,                      1,                0.31925,             0.00010293,             0.00010293,             0.00010293
                     41,                0.03911,                0.89796,                      1,                0.32711,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     42,                0.01596,                0.87755,                      1,                0.32212,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     43,                 0.0368,                0.91837,                      1,                0.31722,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     44,                0.01629,                0.89796,                      1,                0.32532,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     45,                0.01797,                0.89796,                      1,                0.32176,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     46,                0.03934,                0.91837,                      1,                0.30799,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     47,                0.01801,                0.89796,                      1,                0.31567,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     48,                0.01966,                0.93878,                      1,                0.30431,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     49,                0.01836,                0.91837,                      1,                0.31411,               1.34e-05,               1.34e-05,               1.34e-05
                     50,                0.04874,                0.87755,                      1,                0.32125,             9.9269e-06,             9.9269e-06,             9.9269e-06
                      1,                0.39501,                0.46939,                      1,                0.56493,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                 0.3841,                0.55102,                      1,                0.51557,             0.00014979,             0.00014979,             0.00014979
                      3,                0.30263,                0.67347,                      1,                 0.4867,             0.00022759,             0.00022759,             0.00022759
                      4,                0.20969,                0.71429,                      1,                0.43069,             0.00030433,             0.00030433,             0.00030433
                      5,                 0.1917,                0.71429,                      1,                0.41534,             0.00037956,             0.00037956,             0.00037956
                      6,                0.17428,                0.83673,                      1,                0.35797,             0.00045286,             0.00045286,             0.00045286
                      7,                0.15134,                0.83673,                      1,                0.38434,             0.00052378,             0.00052378,             0.00052378
                      8,                0.12514,                0.85714,                      1,                0.38454,             0.00059192,             0.00059192,             0.00059192
                      9,                0.10896,                0.81633,                      1,                0.37903,             0.00065688,             0.00065688,             0.00065688
                     10,                0.08643,                0.79592,                      1,                0.38116,             0.00065898,             0.00065898,             0.00065898
                     11,                0.12592,                0.85714,                      1,                 0.3489,             0.00065898,             0.00065898,             0.00065898
                     12,                0.12447,                0.81633,                      1,                 0.3531,              0.0006465,              0.0006465,              0.0006465
                     13,                0.12785,                0.83673,                      1,                0.36452,             0.00063289,             0.00063289,             0.00063289
                     14,                0.09057,                0.83673,                      1,                0.34519,             0.00061821,             0.00061821,             0.00061821
                     15,                0.10876,                0.89796,                      1,                0.33573,             0.00060251,             0.00060251,             0.00060251
                     16,                0.11549,                0.89796,                      1,                0.31861,             0.00058585,             0.00058585,             0.00058585
                     17,                0.07836,                0.89796,                      1,                0.33122,             0.00056831,             0.00056831,             0.00056831
                     18,                0.05977,                0.89796,                      1,                0.32748,             0.00054995,             0.00054995,             0.00054995
                     19,                0.08517,                0.91837,                      1,                0.30915,             0.00053084,             0.00053084,             0.00053084
                     20,                 0.0731,                0.91837,                      1,                0.30114,             0.00051105,             0.00051105,             0.00051105
                     21,                0.04184,                0.91837,                      1,                0.29909,             0.00049068,             0.00049068,             0.00049068
                     22,                0.05417,                0.89796,                      1,                0.30334,             0.00046979,             0.00046979,             0.00046979
