                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8784,                 2.7552,                 1.0664,                0.56565,                0.39927,                0.43206,                0.21461,                 1.9155,                 2.8487,                 1.1133,              0.0033473,              0.0033473,              0.0033473
                     35,                 1.8359,                 2.6777,                 1.0447,                0.54494,                0.43645,                0.45124,                0.21873,                 1.9446,                 2.8019,                 1.1287,              0.0031638,              0.0031638,              0.0031638
                     36,                 1.8493,                 2.7052,                 1.0539,                0.55194,                0.44505,                0.45719,                 0.2204,                 1.9336,                 2.8158,                 1.1217,              0.0029802,              0.0029802,              0.0029802
                     37,                 1.8317,                 2.6144,                  1.038,                0.56155,                0.42735,                0.44884,                0.22299,                 1.9238,                 2.8163,                 1.1153,              0.0027967,              0.0027967,              0.0027967
                     38,                  1.804,                 2.5556,                 1.0378,                0.56937,                0.44811,                0.45919,                0.22508,                 1.9105,                 2.7535,                 1.1096,              0.0026132,              0.0026132,              0.0026132
                     39,                 1.8332,                 2.5812,                 1.0557,                0.59574,                0.41758,                0.45255,                0.22348,                 1.9346,                 2.8107,                 1.1178,              0.0024297,              0.0024297,              0.0024297
                     40,                 1.8095,                 2.5822,                 1.0441,                 0.5754,                0.43834,                0.45177,                0.22678,                 1.9002,                 2.7718,                 1.1106,              0.0022462,              0.0022462,              0.0022462
                     41,                 1.7842,                 2.4929,                 1.0482,                0.57348,                0.44139,                0.44804,                0.22029,                 1.9196,                  2.764,                 1.1194,              0.0020626,              0.0020626,              0.0020626
                     42,                 1.7551,                 2.4587,                 1.0546,                 0.5553,                0.43346,                0.45188,                0.22335,                 1.9143,                 2.7611,                 1.1153,              0.0018791,              0.0018791,              0.0018791
                     43,                 1.7598,                 2.3898,                 1.0411,                0.57734,                0.43223,                0.45387,                0.22889,                 1.8984,                 2.7684,                 1.1113,              0.0016956,              0.0016956,              0.0016956
                     44,                 1.7384,                  2.357,                 1.0388,                0.59443,                0.43284,                0.45702,                0.22505,                  1.905,                 2.7789,                 1.1156,              0.0015121,              0.0015121,              0.0015121
                     45,                 1.7327,                 2.3078,                 1.0393,                0.58126,                0.45482,                0.46699,                0.23009,                 1.9118,                 2.7508,                 1.1185,              0.0013285,              0.0013285,              0.0013285
                     46,                 1.7145,                 2.2374,                 1.0366,                0.58826,                0.44444,                0.46933,                0.22952,                 1.9307,                  2.779,                 1.1154,               0.001145,               0.001145,               0.001145
                     47,                 1.7246,                 2.2419,                 1.0328,                0.60411,                0.44251,                0.47105,                0.23105,                 1.9175,                 2.7504,                 1.1176,              0.0009615,              0.0009615,              0.0009615
                     48,                 1.7004,                 2.2386,                 1.0304,                0.61916,                0.43651,                0.47237,                0.23399,                 1.9185,                 2.7515,                 1.1196,             0.00077798,             0.00077798,             0.00077798
                     49,                  1.691,                 2.1672,                 1.0126,                0.59381,                0.44383,                0.47006,                0.23363,                 1.9136,                 2.7774,                 1.1199,             0.00059445,             0.00059445,             0.00059445
                     50,                 1.6733,                  2.098,                  1.017,                0.59168,                0.44764,                0.47056,                0.23346,                 1.9165,                  2.743,                 1.1217,             0.00041093,             0.00041093,             0.00041093
