                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      5,                 2.0172,                 3.3003,                 1.1075,                0.50386,                0.36691,                0.37842,                0.17912,                 1.9694,                 3.1705,                 1.1292,              0.0008057,              0.0008057,              0.0008057
                      1,                 2.0249,                 3.2836,                 1.1097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064995,             0.00064995,             0.00064995
                      2,                 2.0368,                 3.4092,                 1.1165,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010428,              0.0010428,              0.0010428
                      3,                 2.0247,                 3.4086,                 1.1214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011761,              0.0011761,              0.0011761
                      4,                 1.9775,                 3.2737,                 1.0946,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080572,             0.00080572,             0.00080572
                      5,                 1.9709,                 3.2117,                 1.0983,                0.52354,                0.39683,                0.40604,                0.18994,                 1.9467,                 3.1507,                 1.1205,             0.00080572,             0.00080572,             0.00080572
                      1,                 2.4386,                 2.7599,                 1.2779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000661,               0.000661,               0.000661
                      2,                 2.4663,                 2.8643,                 1.2681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010607,              0.0010607,              0.0010607
                      3,                 2.4626,                 2.9115,                 1.2815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011964,              0.0011964,              0.0011964
                      4,                 2.4508,                  2.908,                 1.2842,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080616,             0.00080616,             0.00080616
                      5,                 2.4165,                 2.8009,                 1.2597,                0.50927,                0.38034,                0.39022,                0.18009,                 2.3245,                 2.5235,                 1.3015,             0.00080616,             0.00080616,             0.00080616
