                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      4,                 2.6987,                 2.8767,                 1.2149,                0.19602,                0.13052,                0.07461,                0.02389,                 2.7207,                  2.665,                 1.2173,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.7234,                 2.8647,                 1.1967,                0.22567,                0.17528,                0.09965,                  0.031,                 2.6697,                 2.6355,                 1.1838,              0.0018109,              0.0018109,              0.0018109
                      6,                  2.594,                 2.7636,                 1.2104,                0.22995,                0.18285,                0.11008,                0.03666,                  2.619,                 2.5751,                 1.1879,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.5316,                 2.7111,                 1.1904,                0.24332,                0.17213,                0.10716,                0.03454,                 2.6737,                  2.454,                 1.2059,               0.001505,               0.001505,               0.001505
                      8,                 2.5241,                 2.6862,                 1.1944,                 0.2634,                0.18852,                0.12401,                0.04305,                 2.5508,                  2.422,                 1.1811,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.5376,                 2.6288,                 1.1795,                0.28565,                0.18852,                0.14065,                0.05208,                 2.5386,                 2.3485,                 1.1699,              0.0011135,              0.0011135,              0.0011135
                     10,                 2.5263,                 2.6427,                 1.1813,                0.29106,                0.18096,                0.13332,                0.04573,                  2.582,                 2.3542,                 1.1885,             0.00090652,             0.00090652,             0.00090652
                     11,                 2.4852,                 2.6084,                 1.1504,                 0.2949,                0.19168,                0.14189,                0.04914,                 2.5685,                 2.3406,                 1.1688,             0.00070407,             0.00070407,             0.00070407
                     12,                 2.4615,                 2.5333,                  1.161,                0.30129,                0.19798,                0.14833,                 0.0528,                 2.4939,                 2.3546,                 1.1372,               0.000515,               0.000515,               0.000515
                     13,                  2.427,                 2.4862,                 1.1449,                0.30548,                0.20681,                0.15273,                0.05302,                 2.5359,                 2.3247,                 1.1502,             0.00034756,             0.00034756,             0.00034756
                     14,                 2.4291,                 2.4999,                 1.1523,                0.34086,                0.18979,                0.16334,                0.05828,                 2.5051,                 2.3091,                 1.1443,             0.00020907,             0.00020907,             0.00020907
                     15,                 2.4169,                 2.4864,                 1.1423,                0.32637,                0.19672,                0.16108,                0.05892,                 2.5022,                 2.2963,                  1.135,             0.00010559,             0.00010559,             0.00010559
                      1,                 2.6425,                 12.853,                 1.2442,                0.18953,                0.15322,                0.07251,                 0.0214,                 2.6785,                 3.4183,                  1.216,             0.00066146,             0.00066146,             0.00066146
                      2,                 2.7058,                   2.99,                 1.2316,                0.19785,                0.16141,                0.08216,                0.02467,                  2.745,                  2.984,                 1.2463,              0.0013138,              0.0013138,              0.0013138
                      3,                  2.659,                 2.8173,                 1.2266,                0.20182,                0.16898,                0.08788,                0.02808,                 2.6309,                 3.0357,                 1.2241,              0.0019094,              0.0019094,              0.0019094
                      4,                 2.6128,                 2.7381,                 1.2131,                0.21918,                0.17528,                  0.104,                0.03357,                 2.6187,                 3.3482,                 1.1984,              0.0018109,              0.0018109,              0.0018109
                      5,                 2.6025,                 2.7882,                 1.2319,                 0.2267,                0.18096,                0.10702,                 0.0349,                 2.5237,                 2.5229,                 1.1773,              0.0018109,              0.0018109,              0.0018109
                      6,                   2.57,                 2.7426,                 1.2289,                0.22638,                0.19483,                0.10728,                0.03471,                 2.6296,                 2.6335,                 1.2007,              0.0016724,              0.0016724,              0.0016724
                      7,                 2.4813,                 2.6318,                 1.2013,                0.24582,                0.18085,                0.11489,                0.03763,                 2.5341,                 2.4491,                 1.1887,               0.001505,               0.001505,               0.001505
                      8,                 2.4994,                 2.6126,                 1.1917,                0.27748,                0.18348,                0.13262,                0.04233,                 2.6518,                 2.3744,                 1.1999,              0.0013159,              0.0013159,              0.0013159
                      9,                 2.4795,                 2.6029,                 1.1863,                0.26608,                0.20756,                0.14095,                0.04991,                 2.5197,                 2.4514,                 1.1722,              0.0011135,              0.0011135,              0.0011135
                     10,                 2.4116,                 2.5272,                 1.1758,                0.29879,                0.18096,                0.14073,                0.04744,                  2.525,                 2.3471,                 1.1577,             0.00090652,             0.00090652,             0.00090652
                     11,                 2.4309,                 2.5103,                 1.1681,                0.27485,                0.21248,                0.14534,                0.05037,                 2.5325,                 2.4246,                 1.1514,             0.00070407,             0.00070407,             0.00070407
                     12,                 2.4187,                   2.48,                 1.1704,                0.30353,                0.20279,                0.14921,                 0.0502,                 2.5266,                 2.3435,                 1.1514,               0.000515,               0.000515,               0.000515
                     13,                 2.3866,                  2.457,                 1.1494,                 0.2978,                0.20996,                0.15358,                0.05418,                  2.463,                 2.3363,                 1.1378,             0.00034756,             0.00034756,             0.00034756
                     14,                 2.3296,                  2.438,                  1.141,                0.30992,                 0.2024,                0.15882,                0.05772,                 2.4938,                 2.2953,                 1.1479,             0.00020907,             0.00020907,             0.00020907
                     15,                 2.3653,                 2.4345,                 1.1394,                0.30061,                0.20933,                0.16081,                 0.0587,                 2.4492,                 2.2971,                 1.1324,             0.00010559,             0.00010559,             0.00010559
