                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.487,                 3.6757,                0.92009,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065464,             0.00065464,             0.00065464
                      2,                 2.5316,                 3.8554,                0.91896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010508,              0.0010508,              0.0010508
                      3,                 2.5051,                 3.7329,                 0.9111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011855,              0.0011855,              0.0011855
                      4,                 2.4404,                 3.6331,                0.90114,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080612,             0.00080612,             0.00080612
                      5,                 2.4496,                 3.5704,                0.90375,                0.39674,                0.24716,                0.21136,                0.08344,                 2.2798,                  3.186,                0.89978,             0.00080612,             0.00080612,             0.00080612
                      1,                 2.4874,                 3.7422,                0.93303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065718,             0.00065718,             0.00065718
                      2,                 2.4847,                 3.7677,                0.92882,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001055,               0.001055,               0.001055
                      3,                 2.4984,                 3.8176,                0.93661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011903,              0.0011903,              0.0011903
                      4,                   2.43,                 3.5813,                0.91005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00080649,             0.00080649,             0.00080649
                      5,                 2.3803,                 3.4969,                0.90939,                0.37779,                0.24968,                 0.2098,                0.08234,                 2.3092,                 3.1967,                0.91652,             0.00080649,             0.00080649,             0.00080649
