                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6812,                 3.9797,                 0.9538,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092532,             0.00092532,             0.00092532
                      2,                 2.7149,                 4.0774,                0.97192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014855,              0.0014855,              0.0014855
                      3,                 2.7268,                 4.2296,                0.98817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012046,              0.0012046,              0.0012046
                      4,                 2.7441,                 4.0276,                 0.9737,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012046,              0.0012046,              0.0012046
                      5,                 2.6058,                 3.8372,                 0.9619,                 0.3347,                0.25221,                0.19452,                0.07447,                 2.4929,                 3.6916,                 0.9662,             0.00080688,             0.00080688,             0.00080688
                      1,                 3.0375,                 4.2854,                0.93393,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010346,              0.0010346,              0.0010346
                      2,                 3.2178,                 4.5546,                0.96906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016023,              0.0016023,              0.0016023
                      3,                  3.234,                  4.595,                0.99285,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016023,              0.0016023,              0.0016023
                      4,                 3.1378,                 4.3666,                0.95888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012046,              0.0012046,              0.0012046
                      5,                 3.0537,                 4.2755,                0.95226,                0.38249,                0.23329,                0.19412,                0.07364,                 2.9366,                 3.8028,                0.96945,             0.00080688,             0.00080688,             0.00080688
