                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4786,                  2.513,                 1.0762,                0.41054,                0.27995,                0.24461,                0.09854,                 2.4251,                 2.4924,                 1.1167,              0.0037438,              0.0037438,              0.0037438
                     36,                 2.4339,                 2.5132,                 1.0953,                0.43153,                0.27554,                0.25105,                0.10468,                 2.4139,                 2.4785,                 1.1205,              0.0035272,              0.0035272,              0.0035272
                     37,                  2.426,                 2.4839,                 1.0767,                0.45845,                0.26923,                0.25884,                0.11382,                 2.3577,                 2.3647,                 1.1218,              0.0033107,              0.0033107,              0.0033107
                     38,                 2.4052,                 2.4796,                 1.0589,                0.43314,                0.28941,                0.25885,                0.11154,                 2.3373,                 2.3722,                 1.0991,              0.0030941,              0.0030941,              0.0030941
                     39,                 2.3669,                 2.3644,                 1.0712,                0.42634,                 0.2831,                0.26036,                0.11021,                 2.3795,                 2.4268,                 1.1091,              0.0028776,              0.0028776,              0.0028776
                     40,                 2.3495,                  2.394,                 1.0729,                 0.4282,                0.28625,                0.26123,                0.11363,                 2.3116,                 2.4055,                 1.0936,               0.002661,               0.002661,               0.002661
                     41,                 2.3344,                 2.3484,                 1.0735,                0.44314,                0.27747,                0.26219,                0.11313,                 2.3153,                 2.3743,                 1.1063,              0.0024445,              0.0024445,              0.0024445
                     42,                 2.3274,                 2.2845,                 1.0699,                0.43779,                0.29164,                0.26438,                0.11358,                 2.3531,                  2.389,                  1.115,              0.0022279,              0.0022279,              0.0022279
                     43,                 2.2828,                 2.2331,                 1.0559,                0.44566,                0.28752,                0.25948,                0.11285,                 2.3515,                 2.3564,                 1.1049,              0.0020114,              0.0020114,              0.0020114
                     44,                 2.2878,                 2.1869,                 1.0535,                0.42323,                 0.2831,                0.25836,                0.11773,                 2.3286,                 2.3638,                 1.1057,              0.0017948,              0.0017948,              0.0017948
                     45,                 2.2328,                 2.1775,                 1.0473,                0.44373,                0.29319,                 0.2698,                 0.1155,                 2.3068,                 2.3481,                 1.0971,              0.0015783,              0.0015783,              0.0015783
                     46,                 2.2724,                 2.1637,                 1.0518,                0.46298,                0.28878,                0.26904,                 0.1193,                 2.3098,                 2.3412,                  1.105,              0.0013617,              0.0013617,              0.0013617
                     47,                 2.2197,                 2.1106,                 1.0417,                 0.4609,                0.29319,                0.27295,                0.11798,                 2.3059,                 2.3575,                 1.1035,              0.0011452,              0.0011452,              0.0011452
                     48,                 2.1879,                 2.0869,                 1.0462,                0.42657,                0.30895,                0.27093,                0.11909,                 2.3136,                 2.3333,                 1.1061,             0.00092861,             0.00092861,             0.00092861
                     49,                 2.2197,                 2.0512,                 1.0357,                0.44335,                0.30517,                0.27083,                0.11786,                 2.3135,                 2.3231,                 1.0997,             0.00071206,             0.00071206,             0.00071206
                     50,                 2.1751,                 2.0177,                 1.0337,                0.43364,                0.30655,                0.27647,                 0.1221,                 2.2908,                 2.3072,                 1.0945,              0.0004955,              0.0004955,              0.0004955
